Time;J_MUR_T1;TP_EF_T1
21.11.2015 11:0:0;83.65;81.70
21.11.2015 11:1:0;83.65;81.70
21.11.2015 11:2:0;83.65;81.61
21.11.2015 11:3:0;83.65;81.70
21.11.2015 11:4:0;83.65;81.83
21.11.2015 11:5:0;83.74;81.83
21.11.2015 11:6:0;83.65;81.83
21.11.2015 11:7:0;83.65;81.83
21.11.2015 11:8:0;83.74;81.83
21.11.2015 11:9:0;83.74;81.83
21.11.2015 11:10:0;83.83;82.05
21.11.2015 11:11:0;83.96;82.05
21.11.2015 11:12:0;83.87;82.05
21.11.2015 11:13:0;83.83;82.26
21.11.2015 11:14:0;83.96;82.26
21.11.2015 11:15:0;83.96;82.26
21.11.2015 11:16:0;83.96;82.44
21.11.2015 11:17:0;83.83;82.44
21.11.2015 11:18:0;83.83;82.44
21.11.2015 11:19:0;83.83;82.65
21.11.2015 11:20:0;83.74;82.74
21.11.2015 11:21:0;83.65;82.74
21.11.2015 11:22:0;83.52;82.91
21.11.2015 11:23:0;83.61;83.09
21.11.2015 11:24:0;83.61;83.09
21.11.2015 11:25:0;83.52;83.17
21.11.2015 11:26:0;83.52;83.17
21.11.2015 11:27:0;83.61;83.17
21.11.2015 11:28:0;83.61;83.35
21.11.2015 11:29:0;83.65;83.35
21.11.2015 11:30:0;83.74;83.35
21.11.2015 11:31:0;83.61;83.35
21.11.2015 11:32:0;83.52;83.22
21.11.2015 11:33:0;83.22;83.13
21.11.2015 11:34:0;83.09;83.13
21.11.2015 11:35:0;82.70;82.78
21.11.2015 11:36:0;82.44;82.70
21.11.2015 11:37:0;82.44;82.44
21.11.2015 11:38:0;82.44;82.31
21.11.2015 11:39:0;82.48;82.05
21.11.2015 11:40:0;82.70;81.87
21.11.2015 11:41:0;82.96;81.70
21.11.2015 11:42:0;83.09;81.48
21.11.2015 11:43:0;83.39;81.57
21.11.2015 11:44:0;83.78;81.44
21.11.2015 11:45:0;84.09;81.44
21.11.2015 11:46:0;84.48;81.44
21.11.2015 11:47:0;84.87;81.44
21.11.2015 11:48:0;85.26;81.44
21.11.2015 11:49:0;85.47;81.48
21.11.2015 11:50:0;85.95;81.61
21.11.2015 11:51:0;86.13;81.70
21.11.2015 11:52:0;86.21;81.70
21.11.2015 11:53:0;86.47;81.83
21.11.2015 11:54:0;86.56;81.92
21.11.2015 11:55:0;86.65;82.05
21.11.2015 11:56:0;86.69;82.05
21.11.2015 11:57:0;86.65;82.05
21.11.2015 11:58:0;86.65;81.87
21.11.2015 11:59:0;86.47;81.87
21.11.2015 12:0:0;86.39;82.05
21.11.2015 12:1:0;86.26;81.87
21.11.2015 12:2:0;86.17;81.87
21.11.2015 12:3:0;86.04;82.05
21.11.2015 12:4:0;86.04;81.87
21.11.2015 12:5:0;86.04;82.05
21.11.2015 12:6:0;85.95;82.05
21.11.2015 12:7:0;85.95;82.05
21.11.2015 12:8:0;85.82;82.05
21.11.2015 12:9:0;85.91;82.26
21.11.2015 12:10:0;85.95;82.13
21.11.2015 12:11:0;85.82;82.26
21.11.2015 12:12:0;85.78;82.26
21.11.2015 12:13:0;85.78;82.26
21.11.2015 12:14:0;85.91;82.26
21.11.2015 12:15:0;86.00;82.26
21.11.2015 12:16:0;86.13;82.13
21.11.2015 12:17:0;86.13;82.13
21.11.2015 12:18:0;86.26;82.05
21.11.2015 12:19:0;86.34;82.05
21.11.2015 12:20:0;86.43;82.05
21.11.2015 12:21:0;86.65;81.87
21.11.2015 12:22:0;86.56;82.05
21.11.2015 12:23:0;86.69;82.05
21.11.2015 12:24:0;86.78;82.05
21.11.2015 12:25:0;86.69;81.87
21.11.2015 12:26:0;86.65;81.87
21.11.2015 12:27:0;86.78;82.05
21.11.2015 12:28:0;86.86;81.83
21.11.2015 12:29:0;86.86;81.61
21.11.2015 12:30:0;86.86;81.44
21.11.2015 12:31:0;86.99;81.13
21.11.2015 12:32:0;87.04;81.00
21.11.2015 12:33:0;87.04;80.92
21.11.2015 12:34:0;87.21;81.00
21.11.2015 12:35:0;87.25;81.00
21.11.2015 12:36:0;87.34;81.35
21.11.2015 12:37:0;87.51;81.44
21.11.2015 12:38:0;87.65;81.57
21.11.2015 12:39:0;87.73;81.83
21.11.2015 12:40:0;87.73;82.13
21.11.2015 12:41:0;87.86;82.52
21.11.2015 12:42:0;87.95;82.91
21.11.2015 12:43:0;88.08;83.17
21.11.2015 12:44:0;88.08;83.43
21.11.2015 12:45:0;88.17;84.00
21.11.2015 12:46:0;88.30;84.26
21.11.2015 12:47:0;88.38;84.48
21.11.2015 12:48:0;88.38;84.48
21.11.2015 12:49:0;88.38;84.65
21.11.2015 12:50:0;88.51;84.65
21.11.2015 12:51:0;88.51;84.74
21.11.2015 12:52:0;88.60;84.87
21.11.2015 12:53:0;88.60;84.87
21.11.2015 12:54:0;88.60;84.87
21.11.2015 12:55:0;88.73;84.74
21.11.2015 12:56:0;88.82;84.65
21.11.2015 12:57:0;88.82;84.65
21.11.2015 12:58:0;88.95;84.52
21.11.2015 12:59:0;88.95;84.43
21.11.2015 13:0:0;89.03;84.43
21.11.2015 13:1:0;89.03;84.43
21.11.2015 13:2:0;89.21;84.43
21.11.2015 13:3:0;89.29;84.26
21.11.2015 13:4:0;89.42;84.26
21.11.2015 13:5:0;89.60;84.26
21.11.2015 13:6:0;89.82;84.39
21.11.2015 13:7:0;90.03;84.39
21.11.2015 13:8:0;90.03;84.39
21.11.2015 13:9:0;90.12;84.48
21.11.2015 13:10:0;90.12;84.48
21.11.2015 13:11:0;90.25;84.65
21.11.2015 13:12:0;90.25;84.87
21.11.2015 13:13:0;90.25;84.87
21.11.2015 13:14:0;90.34;84.95
21.11.2015 13:15:0;90.34;85.08
21.11.2015 13:16:0;90.38;85.08
21.11.2015 13:17:0;90.38;85.17
21.11.2015 13:18:0;90.47;85.13
21.11.2015 13:19:0;90.47;85.13
21.11.2015 13:20:0;90.47;85.26
21.11.2015 13:21:0;90.47;85.26
21.11.2015 13:22:0;90.51;85.34
21.11.2015 13:23:0;90.47;85.39
21.11.2015 13:24:0;90.38;85.39
21.11.2015 13:25:0;90.47;85.47
21.11.2015 13:26:0;90.47;85.47
21.11.2015 13:27:0;90.47;85.74
21.11.2015 13:28:0;90.47;85.82
21.11.2015 13:29:0;90.38;85.82
21.11.2015 13:30:0;90.47;85.82
21.11.2015 13:31:0;90.47;86.04
21.11.2015 13:32:0;90.51;86.17
21.11.2015 13:33:0;90.51;86.17
21.11.2015 13:34:0;90.51;86.17
21.11.2015 13:35:0;90.51;86.17
21.11.2015 13:36:0;90.60;86.43
21.11.2015 13:37:0;90.68;86.43
21.11.2015 13:38:0;90.77;86.47
21.11.2015 13:39:0;90.77;86.56
21.11.2015 13:40:0;90.90;86.56
21.11.2015 13:41:0;90.99;86.78
21.11.2015 13:42:0;90.99;86.78
21.11.2015 13:43:0;91.12;86.91
21.11.2015 13:44:0;91.20;86.82
21.11.2015 13:45:0;91.20;86.91
21.11.2015 13:46:0;91.20;87.12
21.11.2015 13:47:0;91.33;87.12
21.11.2015 13:48:0;91.38;87.12
21.11.2015 13:49:0;91.38;87.12
21.11.2015 13:50:0;91.47;87.30
21.11.2015 13:51:0;91.55;87.34
21.11.2015 13:52:0;91.55;87.51
21.11.2015 13:53:0;91.64;87.43
21.11.2015 13:54:0;91.81;87.43
21.11.2015 13:55:0;91.81;87.73
21.11.2015 13:56:0;91.81;87.73
21.11.2015 13:57:0;91.90;87.95
21.11.2015 13:58:0;91.99;88.12
21.11.2015 13:59:0;92.03;88.21
21.11.2015 14:0:0;92.03;88.34
21.11.2015 14:1:0;92.03;88.34
21.11.2015 14:2:0;92.12;88.34
21.11.2015 14:3:0;92.20;88.51
21.11.2015 14:4:0;92.20;88.51
21.11.2015 14:5:0;92.20;88.64
21.11.2015 14:6:0;91.99;88.51
21.11.2015 14:7:0;92.25;88.51
21.11.2015 14:8:0;92.25;88.64
21.11.2015 14:9:0;92.33;88.64
21.11.2015 14:10:0;92.33;88.64
21.11.2015 14:11:0;92.33;88.77
21.11.2015 14:12:0;92.33;88.77
21.11.2015 14:13:0;92.33;88.77
21.11.2015 14:14:0;92.25;88.77
21.11.2015 14:15:0;92.25;88.77
21.11.2015 14:16:0;92.25;88.77
21.11.2015 14:17:0;92.33;88.77
21.11.2015 14:18:0;92.33;88.73
21.11.2015 14:19:0;92.42;88.82
21.11.2015 14:20:0;92.42;88.82
21.11.2015 14:21:0;92.42;88.82
21.11.2015 14:22:0;92.51;88.82
21.11.2015 14:23:0;92.72;88.82
21.11.2015 14:24:0;92.72;88.73
21.11.2015 14:25:0;92.85;88.73
21.11.2015 14:26:0;92.85;88.51
21.11.2015 14:27:0;92.94;88.38
21.11.2015 14:28:0;93.11;88.34
21.11.2015 14:29:0;93.20;88.64
21.11.2015 14:30:0;93.20;88.64
21.11.2015 14:31:0;93.29;88.64
21.11.2015 14:32:0;93.33;88.64
21.11.2015 14:33:0;93.33;88.51
21.11.2015 14:34:0;93.51;88.38
21.11.2015 14:35:0;93.51;88.38
21.11.2015 14:36:0;93.51;88.21
21.11.2015 14:37:0;93.59;88.12
21.11.2015 14:38:0;93.59;88.12
21.11.2015 14:39:0;93.64;88.64
21.11.2015 14:40:0;93.72;88.82
21.11.2015 14:41:0;93.72;89.03
21.11.2015 14:42:0;93.72;89.03
21.11.2015 14:43:0;93.72;88.95
21.11.2015 14:44:0;93.72;88.95
21.11.2015 14:45:0;93.81;88.73
21.11.2015 14:46:0;93.85;88.64
21.11.2015 14:47:0;93.85;88.51
21.11.2015 14:48:0;93.94;88.51
21.11.2015 14:49:0;93.94;88.77
21.11.2015 14:50:0;94.03;89.03
21.11.2015 14:51:0;93.94;89.03
21.11.2015 14:52:0;93.98;89.03
21.11.2015 14:53:0;93.98;88.95
21.11.2015 14:54:0;93.94;88.86
21.11.2015 14:55:0;93.98;88.73
21.11.2015 14:56:0;93.98;88.64
21.11.2015 14:57:0;93.98;88.51
21.11.2015 14:58:0;93.98;88.51
21.11.2015 14:59:0;94.20;89.03
21.11.2015 15:0:0;93.98;89.51
21.11.2015 15:1:0;93.98;89.64
21.11.2015 15:2:0;93.94;89.73
21.11.2015 15:3:0;93.85;89.64
21.11.2015 15:4:0;93.85;89.51
21.11.2015 15:5:0;93.77;89.42
21.11.2015 15:6:0;93.64;89.21
21.11.2015 15:7:0;93.64;89.21
21.11.2015 15:8:0;93.55;89.08
21.11.2015 15:9:0;93.42;89.08
21.11.2015 15:10:0;93.42;88.95
21.11.2015 15:11:0;93.33;88.82
21.11.2015 15:12:0;93.20;88.73
21.11.2015 15:13:0;93.11;88.64
21.11.2015 15:14:0;93.11;88.38
21.11.2015 15:15:0;92.98;88.30
21.11.2015 15:16:0;92.90;88.12
21.11.2015 15:17:0;92.77;87.99
21.11.2015 15:18:0;92.68;87.86
21.11.2015 15:19:0;92.46;87.65
21.11.2015 15:20:0;92.46;87.51
21.11.2015 15:21:0;92.29;87.30
21.11.2015 15:22:0;92.12;87.21
21.11.2015 15:23:0;92.03;87.04
21.11.2015 15:24:0;91.90;86.91
21.11.2015 15:25:0;91.81;86.82
21.11.2015 15:26:0;91.81;86.60
21.11.2015 15:27:0;91.68;86.47
21.11.2015 15:28:0;91.64;86.34
21.11.2015 15:29:0;91.64;86.13
21.11.2015 15:30:0;91.64;86.04
21.11.2015 15:31:0;91.64;85.82
21.11.2015 15:32:0;91.86;85.74
21.11.2015 15:33:0;91.77;85.60
21.11.2015 15:34:0;91.77;85.52
21.11.2015 15:35:0;91.90;85.13
21.11.2015 15:36:0;92.07;86.43
21.11.2015 15:37:0;92.07;87.86
21.11.2015 15:38:0;92.25;88.30
21.11.2015 15:39:0;92.42;88.38
21.11.2015 15:40:0;92.46;88.73
21.11.2015 15:41:0;92.46;89.03
21.11.2015 15:42:0;92.51;89.03
21.11.2015 15:43:0;92.68;89.21
21.11.2015 15:44:0;92.64;89.42
21.11.2015 15:45:0;92.64;89.29
21.11.2015 15:46:0;92.64;89.42
21.11.2015 15:47:0;92.64;89.21
21.11.2015 15:48:0;92.55;89.21
21.11.2015 15:49:0;92.55;89.08
21.11.2015 15:50:0;92.64;88.82
21.11.2015 15:51:0;92.64;88.73
21.11.2015 15:52:0;92.64;88.64
21.11.2015 15:53:0;92.72;88.38
21.11.2015 15:54:0;92.77;88.30
21.11.2015 15:55:0;92.85;88.51
21.11.2015 15:56:0;92.94;88.95
21.11.2015 15:57:0;92.94;89.03
21.11.2015 15:58:0;92.98;89.03
21.11.2015 15:59:0;93.20;89.21
21.11.2015 16:0:0;93.29;89.21
21.11.2015 16:1:0;93.51;89.29
21.11.2015 16:2:0;93.64;89.51
21.11.2015 16:3:0;93.94;89.64
21.11.2015 16:4:0;94.07;89.73
21.11.2015 16:5:0;94.37;89.29
21.11.2015 16:6:0;94.46;89.21
21.11.2015 16:7:0;94.63;89.21
21.11.2015 16:8:0;94.85;89.08
21.11.2015 16:9:0;94.81;89.08
21.11.2015 16:10:0;94.89;88.95
21.11.2015 16:11:0;94.72;88.95
21.11.2015 16:12:0;94.89;88.64
21.11.2015 16:13:0;95.02;89.42
21.11.2015 16:14:0;95.02;89.90
21.11.2015 16:15:0;95.15;90.16
21.11.2015 16:16:0;95.15;90.90
21.11.2015 16:17:0;95.15;91.20
21.11.2015 16:18:0;95.11;91.20
21.11.2015 16:19:0;95.11;91.42
21.11.2015 16:20:0;95.24;91.42
21.11.2015 16:21:0;95.07;91.42
21.11.2015 16:22:0;95.07;90.99
21.11.2015 16:23:0;95.15;91.12
21.11.2015 16:24:0;95.33;91.20
21.11.2015 16:25:0;95.46;91.20
21.11.2015 16:26:0;95.68;91.12
21.11.2015 16:27:0;95.94;91.12
21.11.2015 16:28:0;96.20;90.90
21.11.2015 16:29:0;96.46;90.60
21.11.2015 16:30:0;96.76;90.81
21.11.2015 16:31:0;96.98;90.90
21.11.2015 16:32:0;97.20;90.60
21.11.2015 16:33:0;97.33;90.51
21.11.2015 16:34:0;97.46;90.60
21.11.2015 16:35:0;97.54;90.51
21.11.2015 16:36:0;97.67;90.51
21.11.2015 16:37:0;97.67;90.51
21.11.2015 16:38:0;97.67;90.16
21.11.2015 16:39:0;97.67;90.16
21.11.2015 16:40:0;97.63;90.16
21.11.2015 16:41:0;97.54;90.16
21.11.2015 16:42:0;97.54;90.16
21.11.2015 16:43:0;97.46;89.73
21.11.2015 16:44:0;97.67;89.82
21.11.2015 16:45:0;97.46;89.82
21.11.2015 16:46:0;97.46;89.69
21.11.2015 16:47:0;97.50;89.29
21.11.2015 16:48:0;97.63;89.42
21.11.2015 16:49:0;97.72;89.42
21.11.2015 16:50:0;97.85;89.42
21.11.2015 16:51:0;97.93;89.42
21.11.2015 16:52:0;97.93;89.42
21.11.2015 16:53:0;98.06;89.42
21.11.2015 16:54:0;97.98;89.64
21.11.2015 16:55:0;97.98;89.64
21.11.2015 16:56:0;97.89;89.51
21.11.2015 16:57:0;97.76;89.73
21.11.2015 16:58:0;97.67;89.82
21.11.2015 16:59:0;97.67;89.64
21.11.2015 17:0:0;97.41;89.38
21.11.2015 17:1:0;97.33;89.51
21.11.2015 17:2:0;97.24;89.42
21.11.2015 17:3:0;97.11;89.29
21.11.2015 17:4:0;97.02;89.29
21.11.2015 17:5:0;96.89;89.21
21.11.2015 17:6:0;96.80;89.51
21.11.2015 17:7:0;96.80;89.51
21.11.2015 17:8:0;96.67;89.73
21.11.2015 17:9:0;96.59;89.82
21.11.2015 17:10:0;96.59;89.82
21.11.2015 17:11:0;96.37;90.03
21.11.2015 17:12:0;96.33;90.12
21.11.2015 17:13:0;96.20;90.12
21.11.2015 17:14:0;96.11;90.12
21.11.2015 17:15:0;96.02;90.47
21.11.2015 17:16:0;96.02;90.47
21.11.2015 17:17:0;96.11;90.08
21.11.2015 17:18:0;96.20;90.16
21.11.2015 17:19:0;96.41;90.29
21.11.2015 17:20:0;96.59;90.29
21.11.2015 17:21:0;96.76;90.29
21.11.2015 17:22:0;96.98;90.16
21.11.2015 17:23:0;97.11;89.90
21.11.2015 17:24:0;97.33;89.90
21.11.2015 17:25:0;97.54;90.12
21.11.2015 17:26:0;97.46;90.60
21.11.2015 17:27:0;97.54;90.90
21.11.2015 17:28:0;97.41;91.42
21.11.2015 17:29:0;97.46;91.68
21.11.2015 17:30:0;97.33;91.68
21.11.2015 17:31:0;97.11;91.81
21.11.2015 17:32:0;96.89;92.20
21.11.2015 17:33:0;96.85;92.07
21.11.2015 17:34:0;96.63;91.99
21.11.2015 17:35:0;96.54;92.29
21.11.2015 17:36:0;96.37;92.29
21.11.2015 17:37:0;96.24;92.29
21.11.2015 17:38:0;96.11;92.20
21.11.2015 17:39:0;95.94;91.81
21.11.2015 17:40:0;95.72;91.42
21.11.2015 17:41:0;95.37;91.42
21.11.2015 17:42:0;95.24;91.99
21.11.2015 17:43:0;94.94;92.07
21.11.2015 17:44:0;94.85;92.20
21.11.2015 17:45:0;94.63;92.33
21.11.2015 17:46:0;94.37;92.68
21.11.2015 17:47:0;94.24;92.90
21.11.2015 17:48:0;94.07;92.77
21.11.2015 17:49:0;93.98;93.07
21.11.2015 17:50:0;93.77;93.51
21.11.2015 17:51:0;93.77;93.51
21.11.2015 17:52:0;93.64;93.20
21.11.2015 17:53:0;93.64;92.98
21.11.2015 17:54:0;93.55;93.42
21.11.2015 17:55:0;93.51;93.42
21.11.2015 17:56:0;93.51;93.59
21.11.2015 17:57:0;93.42;93.51
21.11.2015 17:58:0;93.51;93.42
21.11.2015 17:59:0;93.59;93.07
21.11.2015 18:0:0;93.59;93.72
21.11.2015 18:1:0;93.72;93.85
21.11.2015 18:2:0;93.85;93.94
21.11.2015 18:3:0;93.85;94.24
21.11.2015 18:4:0;94.03;94.50
21.11.2015 18:5:0;94.24;94.37
21.11.2015 18:6:0;94.16;94.63
21.11.2015 18:7:0;94.16;94.72
21.11.2015 18:8:0;94.24;94.72
21.11.2015 18:9:0;94.24;94.24
21.11.2015 18:10:0;94.24;94.07
21.11.2015 18:11:0;94.24;94.07
21.11.2015 18:12:0;94.24;94.42
21.11.2015 18:13:0;94.24;94.29
21.11.2015 18:14:0;94.29;94.16
21.11.2015 18:15:0;94.42;94.37
21.11.2015 18:16:0;94.68;94.37
21.11.2015 18:17:0;94.68;94.46
21.11.2015 18:18:0;94.81;94.72
21.11.2015 18:19:0;94.81;94.81
21.11.2015 18:20:0;95.02;94.81
21.11.2015 18:21:0;95.11;94.94
21.11.2015 18:22:0;95.15;94.94
21.11.2015 18:23:0;95.33;94.63
21.11.2015 18:24:0;95.46;94.42
21.11.2015 18:25:0;95.59;94.42
21.11.2015 18:26:0;95.68;94.50
21.11.2015 18:27:0;95.76;94.59
21.11.2015 18:28:0;95.94;94.46
21.11.2015 18:29:0;95.89;94.07
21.11.2015 18:30:0;95.81;94.37
21.11.2015 18:31:0;95.68;94.37
21.11.2015 18:32:0;95.68;94.46
21.11.2015 18:33:0;95.59;94.37
21.11.2015 18:34:0;95.50;94.37
21.11.2015 18:35:0;95.37;94.24
21.11.2015 18:36:0;95.29;94.07
21.11.2015 18:37:0;95.24;94.07
21.11.2015 18:38:0;95.07;93.77
21.11.2015 18:39:0;95.15;93.77
21.11.2015 18:40:0;95.07;93.59
21.11.2015 18:41:0;95.07;93.51
21.11.2015 18:42:0;95.11;93.42
21.11.2015 18:43:0;95.24;93.33
21.11.2015 18:44:0;95.33;92.98
21.11.2015 18:45:0;95.55;92.64
21.11.2015 18:46:0;95.68;93.07
21.11.2015 18:47:0;95.98;93.33
21.11.2015 18:48:0;95.98;93.33
21.11.2015 18:49:0;96.33;93.51
21.11.2015 18:50:0;96.41;93.94
21.11.2015 18:51:0;96.54;94.03
21.11.2015 18:52:0;96.54;94.24
21.11.2015 18:53:0;96.54;94.37
21.11.2015 18:54:0;96.59;94.50
21.11.2015 18:55:0;96.59;94.37
21.11.2015 18:56:0;96.59;94.37
21.11.2015 18:57:0;96.46;94.16
21.11.2015 18:58:0;96.41;94.03
21.11.2015 18:59:0;96.33;93.94
21.11.2015 19:0:0;96.33;93.72
21.11.2015 19:1:0;96.24;93.20
21.11.2015 19:2:0;96.24;94.03
21.11.2015 19:3:0;96.33;93.94
21.11.2015 19:4:0;96.37;93.94
21.11.2015 19:5:0;96.37;93.94
21.11.2015 19:6:0;96.46;93.94
21.11.2015 19:7:0;96.54;93.59
21.11.2015 19:8:0;96.63;93.07
21.11.2015 19:9:0;96.76;92.90
21.11.2015 19:10:0;96.80;92.68
21.11.2015 19:11:0;96.85;92.42
21.11.2015 19:12:0;96.89;92.20
21.11.2015 19:13:0;96.98;92.07
21.11.2015 19:14:0;97.11;91.99
21.11.2015 19:15:0;97.02;91.90
21.11.2015 19:16:0;97.06;91.81
21.11.2015 19:17:0;97.11;91.68
21.11.2015 19:18:0;97.20;91.25
21.11.2015 19:19:0;97.20;90.99
21.11.2015 19:20:0;97.28;91.20
21.11.2015 19:21:0;97.28;91.55
21.11.2015 19:22:0;97.54;91.55
21.11.2015 19:23:0;97.33;91.42
21.11.2015 19:24:0;97.33;91.25
21.11.2015 19:25:0;97.33;91.12
21.11.2015 19:26:0;97.24;91.12
21.11.2015 19:27:0;97.11;91.20
21.11.2015 19:28:0;96.98;91.12
21.11.2015 19:29:0;96.85;90.99
21.11.2015 19:30:0;96.85;90.81
21.11.2015 19:31:0;96.67;90.73
21.11.2015 19:32:0;96.59;90.60
21.11.2015 19:33:0;96.46;90.60
21.11.2015 19:34:0;96.37;90.51
21.11.2015 19:35:0;96.24;90.16
21.11.2015 19:36:0;96.24;89.90
21.11.2015 19:37:0;96.02;90.12
21.11.2015 19:38:0;95.94;90.60
21.11.2015 19:39:0;95.81;90.60
21.11.2015 19:40:0;95.72;90.73
21.11.2015 19:41:0;95.59;90.94
21.11.2015 19:42:0;95.50;90.94
21.11.2015 19:43:0;95.37;91.20
21.11.2015 19:44:0;95.46;91.68
21.11.2015 19:45:0;95.29;91.81
21.11.2015 19:46:0;95.29;91.90
21.11.2015 19:47:0;95.15;91.68
21.11.2015 19:48:0;95.11;91.68
21.11.2015 19:49:0;95.11;91.60
21.11.2015 19:50:0;95.15;91.60
21.11.2015 19:51:0;94.94;91.25
21.11.2015 19:52:0;94.85;90.99
21.11.2015 19:53:0;94.85;90.99
21.11.2015 19:54:0;0.00;90.77
21.11.2015 19:55:0;94.81;90.90
21.11.2015 19:56:0;94.85;91.42
21.11.2015 19:57:0;94.85;91.81
21.11.2015 19:58:0;94.89;91.81
21.11.2015 19:59:0;94.89;91.68
21.11.2015 20:0:0;95.07;92.20
21.11.2015 20:1:0;95.07;92.29
21.11.2015 20:2:0;95.24;92.29
21.11.2015 20:3:0;95.33;92.64
21.11.2015 20:4:0;95.50;92.64
21.11.2015 20:5:0;95.68;92.64
21.11.2015 20:6:0;95.76;92.64
21.11.2015 20:7:0;95.94;92.64
21.11.2015 20:8:0;96.02;92.51
21.11.2015 20:9:0;96.02;92.42
21.11.2015 20:10:0;96.02;92.20
21.11.2015 20:11:0;96.02;92.07
21.11.2015 20:12:0;95.94;91.99
21.11.2015 20:13:0;95.94;91.60
21.11.2015 20:14:0;95.72;91.99
21.11.2015 20:15:0;95.72;92.20
21.11.2015 20:16:0;95.59;92.29
21.11.2015 20:17:0;95.50;92.98
21.11.2015 20:18:0;95.37;93.20
21.11.2015 20:19:0;95.29;93.42
21.11.2015 20:20:0;95.15;93.72
21.11.2015 20:21:0;95.15;93.81
21.11.2015 20:22:0;95.07;93.72
21.11.2015 20:23:0;95.15;93.72
21.11.2015 20:24:0;95.11;93.51
21.11.2015 20:25:0;95.24;93.42
21.11.2015 20:26:0;95.24;93.33
21.11.2015 20:27:0;95.37;92.98
21.11.2015 20:28:0;95.46;91.99
21.11.2015 20:29:0;95.46;92.29
21.11.2015 20:30:0;95.68;92.72
21.11.2015 20:31:0;95.68;93.07
21.11.2015 20:32:0;95.76;92.98
21.11.2015 20:33:0;95.76;93.20
21.11.2015 20:34:0;95.76;93.33
21.11.2015 20:35:0;95.76;93.33
21.11.2015 20:36:0;95.76;93.72
21.11.2015 20:37:0;95.76;93.81
21.11.2015 20:38:0;95.76;93.85
21.11.2015 20:39:0;95.68;93.85
21.11.2015 20:40:0;95.76;94.03
21.11.2015 20:41:0;95.76;94.03
21.11.2015 20:42:0;95.89;93.85
21.11.2015 20:43:0;95.89;93.72
21.11.2015 20:44:0;95.98;93.59
21.11.2015 20:45:0;96.15;93.33
21.11.2015 20:46:0;96.15;92.90
21.11.2015 20:47:0;96.15;92.98
21.11.2015 20:48:0;96.24;93.72
21.11.2015 20:49:0;96.24;93.81
21.11.2015 20:50:0;96.15;94.07
21.11.2015 20:51:0;95.98;94.37
21.11.2015 20:52:0;95.98;94.37
21.11.2015 20:53:0;95.76;94.37
21.11.2015 20:54:0;95.68;94.37
21.11.2015 20:55:0;95.68;94.24
21.11.2015 20:56:0;95.59;94.37
21.11.2015 20:57:0;95.50;94.20
21.11.2015 20:58:0;95.46;94.03
21.11.2015 20:59:0;95.37;93.94
21.11.2015 21:0:0;95.46;93.77
21.11.2015 21:1:0;95.24;93.77
21.11.2015 21:2:0;95.24;93.51
21.11.2015 21:3:0;95.15;92.90
21.11.2015 21:4:0;95.24;93.59
21.11.2015 21:5:0;95.15;93.72
21.11.2015 21:6:0;95.24;93.59
21.11.2015 21:7:0;95.24;93.51
21.11.2015 21:8:0;95.37;93.33
21.11.2015 21:9:0;95.46;93.20
21.11.2015 21:10:0;95.59;92.98
21.11.2015 21:11:0;95.50;92.90
21.11.2015 21:12:0;95.81;92.77
21.11.2015 21:13:0;95.55;92.77
21.11.2015 21:14:0;95.89;92.68
21.11.2015 21:15:0;95.98;92.51
21.11.2015 21:16:0;95.98;92.42
21.11.2015 21:17:0;95.98;92.29
21.11.2015 21:18:0;95.98;91.60
21.11.2015 21:19:0;95.89;91.81
21.11.2015 21:20:0;96.02;92.20
21.11.2015 21:21:0;95.94;92.29
21.11.2015 21:22:0;96.02;92.29
21.11.2015 21:23:0;95.89;92.42
21.11.2015 21:24:0;96.02;92.51
21.11.2015 21:25:0;95.81;92.51
21.11.2015 21:26:0;95.81;92.51
21.11.2015 21:27:0;95.72;92.72
21.11.2015 21:28:0;95.68;92.72
21.11.2015 21:29:0;95.55;92.64
21.11.2015 21:30:0;95.72;92.51
21.11.2015 21:31:0;95.46;92.20
21.11.2015 21:32:0;95.46;91.90
21.11.2015 21:33:0;95.46;91.90
21.11.2015 21:34:0;95.37;91.68
21.11.2015 21:35:0;95.46;91.42
21.11.2015 21:36:0;95.59;91.64
21.11.2015 21:37:0;95.68;92.29
21.11.2015 21:38:0;95.94;92.64
21.11.2015 21:39:0;96.15;92.55
21.11.2015 21:40:0;95.81;92.90
21.11.2015 21:41:0;95.98;92.98
21.11.2015 21:42:0;95.98;92.90
21.11.2015 21:43:0;95.98;92.90
21.11.2015 21:44:0;96.02;92.77
21.11.2015 21:45:0;96.24;92.77
21.11.2015 21:46:0;96.33;92.77
21.11.2015 21:47:0;96.15;92.68
21.11.2015 21:48:0;96.15;91.90
21.11.2015 21:49:0;95.98;91.68
21.11.2015 21:50:0;95.98;91.68
21.11.2015 21:51:0;95.89;91.25
21.11.2015 21:52:0;95.89;91.81
21.11.2015 21:53:0;95.81;92.20
21.11.2015 21:54:0;95.81;92.51
21.11.2015 21:55:0;95.81;92.64
21.11.2015 21:56:0;95.76;92.77
21.11.2015 21:57:0;95.72;92.98
21.11.2015 21:58:0;95.72;92.98
21.11.2015 21:59:0;95.59;92.90
21.11.2015 22:0:0;95.76;92.77
21.11.2015 22:1:0;95.59;92.42
21.11.2015 22:2:0;95.46;92.90
21.11.2015 22:3:0;95.46;92.90
21.11.2015 22:4:0;95.37;92.90
