Time;J_MUR_T1;TP_EF_T1
21.11.2015 2:31:0;80.74;74.71
21.11.2015 2:32:0;80.70;74.62
21.11.2015 2:33:0;80.61;74.49
21.11.2015 2:34:0;80.53;74.41
21.11.2015 2:35:0;80.53;74.28
21.11.2015 2:36:0;80.53;74.19
21.11.2015 2:37:0;80.40;74.10
21.11.2015 2:38:0;80.27;73.88
21.11.2015 2:39:0;80.31;74.01
21.11.2015 2:40:0;80.31;74.62
21.11.2015 2:41:0;80.31;74.71
21.11.2015 2:42:0;80.31;74.84
21.11.2015 2:43:0;80.31;74.71
21.11.2015 2:44:0;80.40;74.84
21.11.2015 2:45:0;80.53;75.10
21.11.2015 2:46:0;80.53;75.10
21.11.2015 2:47:0;80.70;74.88
21.11.2015 2:48:0;80.79;74.88
21.11.2015 2:49:0;80.83;74.75
21.11.2015 2:50:0;80.92;74.62
21.11.2015 2:51:0;81.05;74.49
21.11.2015 2:52:0;81.05;74.41
21.11.2015 2:53:0;81.18;74.41
21.11.2015 2:54:0;81.13;74.41
21.11.2015 2:55:0;81.00;74.41
21.11.2015 2:56:0;80.79;74.19
21.11.2015 2:57:0;80.79;73.80
21.11.2015 2:58:0;80.70;73.45
21.11.2015 2:59:0;80.61;74.01
21.11.2015 3:0:0;80.53;74.41
21.11.2015 3:1:0;80.53;74.84
21.11.2015 3:2:0;80.40;74.93
21.11.2015 3:3:0;80.40;75.10
21.11.2015 3:4:0;80.40;74.97
21.11.2015 3:5:0;80.40;74.88
21.11.2015 3:6:0;80.40;74.71
21.11.2015 3:7:0;80.40;74.62
21.11.2015 3:8:0;80.40;74.49
21.11.2015 3:9:0;80.40;74.28
21.11.2015 3:10:0;80.31;74.28
21.11.2015 3:11:0;80.31;74.19
21.11.2015 3:12:0;80.35;74.01
21.11.2015 3:13:0;80.35;73.58
21.11.2015 3:14:0;80.27;73.58
21.11.2015 3:15:0;80.27;74.28
21.11.2015 3:16:0;80.18;74.49
21.11.2015 3:17:0;80.18;74.62
21.11.2015 3:18:0;80.14;74.84
21.11.2015 3:19:0;80.31;74.97
21.11.2015 3:20:0;80.18;75.19
21.11.2015 3:21:0;80.35;75.10
21.11.2015 3:22:0;80.40;74.97
21.11.2015 3:23:0;80.40;74.97
21.11.2015 3:24:0;80.27;74.88
21.11.2015 3:25:0;80.53;74.62
21.11.2015 3:26:0;80.61;74.62
21.11.2015 3:27:0;80.53;74.49
21.11.2015 3:28:0;80.48;74.49
21.11.2015 3:29:0;80.57;74.41
21.11.2015 3:30:0;80.61;74.28
21.11.2015 3:31:0;80.61;73.88
21.11.2015 3:32:0;80.57;74.19
21.11.2015 3:33:0;80.57;74.71
21.11.2015 3:34:0;80.61;74.93
21.11.2015 3:35:0;80.74;75.19
21.11.2015 3:36:0;80.57;75.36
21.11.2015 3:37:0;80.57;75.36
21.11.2015 3:38:0;80.53;75.10
21.11.2015 3:39:0;80.53;75.36
21.11.2015 3:40:0;80.48;75.53
21.11.2015 3:41:0;80.48;75.62
21.11.2015 3:42:0;80.53;75.36
